tt7404820	movie	Runaway Christmas Bride	2017	90	Comedy,Drama,Family
tt8039362	tvMovie	Marrying Mr. Darcy	2018	86	Romance
tt8430044	tvMovie	Love at First Dance	2018	84	Drama,Romance
tt5288136	tvMovie	Late Bloomer	2016	87	Family,Romance
tt5864236	tvMovie	Brimming with Love	2018	90	Family,Romance
tt5431950	tvMovie	Bridal Boot Camp	2017	92	Comedy,Romance
tt5646992	movie	Love Exclusively	2017	92	Comedy,Romance
tt5676118	tvMovie	A Wish For Christmas	2016	84	Drama,Family,Fantasy
tt3338436	tvMovie	Chance at Romance	2014	120	Comedy,Family,Romance
tt4460176	tvMovie	All of My Heart	2015	84	Comedy,Family,Romance
tt3515524	tvMovie	Valentine Ever After	2016	84	Comedy,Drama,Family
tt6782486	tvMovie	The Perfect Catch	2017	83	Drama,Family,Romance
tt4016588	tvMovie	Surprised by Love	2015	84	Comedy,Family,Romance
tt4087916	tvMovie	Midnight Masquerade	2014	82	Comedy,Family,Romance
tt5097970	tvMovie	Angel of Christmas	2015	84	Comedy,Romance
tt5062804	tvMovie	The Christmas Note	2015	85	Drama,Mystery
tt8709036	movie	A Christmas Prince: The Royal Wedding	2018	92	Drama,Romance
tt2838678	tvMovie	A Royal Christmas	2014	90	Comedy,Family,Romance
tt8555248	tvMovie	Love in Design	2018	86	Comedy,Family,Romance
tt8312392	tvMovie	A Summer to Remember	2018	82	Comedy,Family,Romance
tt9028942	tvMovie	Santa's Boots	2018	90	Comedy,Drama,Romance
tt8231086	tvEpisode	The Perfect Bride: Wedding Bells	2019	84	\N
tt6874542	tvEpisode	The Perfect Bride	2017	84	\N
tt6948128	tvMovie	All Anything or Love	2016	83	Comedy,Romance
tt7488036	movie	The Trouble with Mistletoe	2017	111	Comedy,Drama,Romance
tt9212666	tvMovie	Forever Christmas	2018	90	Drama,Romance
tt6240470	tvMovie	Back to Love	2017	90	Romance
tt10022384	movie	The Protector	2019	126	Comedy,Romance
tt6669590	tvMovie	Like Cats & Dogs	2017	84	Comedy,Romance
tt6914742	tvMovie	The Art of Us	2017	120	Comedy,Drama,Romance
tt9760256	tvMovie	Love Unleashed	2019	82	Romance
tt8746226	tvMovie	From Friend to Fiancé	2019	77	Drama,Romance
tt10136902	tvMovie	Love, Take Two	2019	84	Romance
tt10136840	tvMovie	A Feeling of Home	2019	83	Romance
tt9876418	tvMovie	Easter Under Wraps	2019	83	Comedy,Romance
tt9777092	tvMovie	Wedding at Graceland	2019	120	Romance
tt7997256	tvMovie	Love on Safari	2018	84	Romance
tt9759926	tvMovie	Just Add Romance	2019	83	Romance
tt10136854	tvMovie	Five Summer Weddings	2019	84	Comedy,Drama,Family
tt10176734	tvMovie	A Storybook Christmas	2019	83	Romance
tt10136864	tvMovie	Love in the Sun	2019	82	Romance
tt9695612	tvMovie	Love on the Menu	2019	90	Romance
tt9876426	tvMovie	Love Takes Flight	2019	87	Romance
tt10136884	tvMovie	The Last Bridesmaid	2019	84	Romance
tt9759938	tvMovie	True Love Blooms	2019	82	Romance
tt10380706	tvMovie	Wedding March 5: My Boyfriend's Back	2019	84	Romance
tt10136826	tvMovie	Paris, Wine and Romance	2019	84	Romance
tt10337562	tvMovie	Sister of the Bride	2019	83	Comedy,Romance
tt9876408	tvMovie	Bottled with Love	2019	84	Drama,Romance
tt9783876	tvMovie	A Brush with Love	2019	84	Romance
tt9759918	tvMovie	Love to the Rescue	2019	84	Romance
tt9747392	tvMovie	Flip That Romance	2019	90	Romance
tt9602544	tvMovie	The Story of Us	2019	84	Comedy,Romance
tt9552488	tvMovie	Love, Romance, & Chocolate	2019	84	Romance
tt9323966	tvMovie	SnowComing	2018	84	Adventure,Family,Romance
tt9556756	tvMovie	Winter Love Story	2019	84	Romance
tt9287492	tvMovie	Winter Castle	2019	83	Drama,Family,Romance
tt9556730	tvMovie	A Winter Princess	2019	82	Animation,Drama,Family
tt9556850	tvMovie	Valentine in the Vineyard	2019	84	Romance
tt7049178	tvMovie	Rome in Love	2019	90	Romance
tt10345024	tvMovie	A Taste of Summer	2019	82	Romance
tt10369978	tvMovie	Love and Sunshine	2019	84	Romance
tt9534518	tvMovie	One Winter Proposal	2019	84	Comedy,Romance
tt8587730	tvMovie	Love Under the Rainbow	2019	120	Romance
tt8020378	tvEpisode	Crossword Mysteries: A Puzzle to Die For	2019	120	Crime,Drama,Romance
tt9202096	tvMovie	Christmas Bells Are Ringing	2018	90	Drama,Romance
tt8582458	tvEpisode	Picture Perfect Mysteries: Newlywed and Dead	2019	85	Crime,Mystery,Romance
tt7936538	tvMovie	Love at Sea	2018	84	Mystery,Romance
tt8863322	tvMovie	Under the Autumn Moon	2018	120	Action,Comedy,Drama
tt9033640	tvMovie	Hope at Christmas	2018	82	Comedy,Drama,Romance
tt10224134	tvMovie	A Summer Romance	2019	87	Comedy,Drama,Romance
tt9028880	tvMovie	Christmas Made to Order	2018	80	Romance
tt8989870	tvMovie	Love, of Course	2018	84	Comedy,Romance
tt8498184	tvMovie	Christmas at Pemberley Manor	2018	84	Romance
tt9033628	tvMovie	Mingle All the Way	2018	83	Drama,Romance
tt8634192	tvMovie	Pride, Prejudice and Mistletoe	2018	82	Romance
tt10136908	tvMovie	In the Key of Love	2019	83	Romance
tt9892388	tvMovie	Art of Falling in Love	2019	90	Romance
tt9386068	tvMovie	A Very Country Wedding	2019	84	Romance
tt9247926	tvMovie	After the Storm	2019	91	Romance
tt9168416	tvMovie	Small Town Christmas	2018	120	Drama,Romance
tt9168384	tvMovie	Jingle Around the Clock	2018	90	Comedy,Romance
tt9029324	tvMovie	Northern Lights of Christmas	2018	120	Romance
tt9028784	tvMovie	Christmas at Grand Valley	2018	85	Romance
tt9093130	tvMovie	Time for Me to Come Home for Christmas	2018	84	Drama,Music,Romance
tt9103028	tvMovie	Return to Christmas Creek	2018	86	Drama,Romance
tt9028856	tvMovie	Christmas Wonderland	2018	120	Drama,Romance
tt9032562	tvMovie	Homegrown Christmas	2018	90	Romance
tt9087578	tvMovie	Once Upon a Christmas Miracle	2018	83	Drama,Romance
tt9028872	tvMovie	Entertaining Christmas	2018	90	Romance
tt8634202	tvMovie	A Shoe Addict's Christmas	2018	85	Fantasy,Romance
tt9033634	tvMovie	Christmas in Evergreen: Letters to Santa	2018	84	Drama,Fantasy,Romance
tt9033646	tvMovie	Reunited at Christmas	2018	85	Drama,Romance
tt9033712	tvMovie	Christmas in Love	2018	84	Drama,Romance
tt8300786	tvMovie	It's Christmas, Eve	2018	84	Drama,Music,Romance
tt9033632	tvMovie	Christmas at the Palace	2018	85	Romance
tt9083646	tvMovie	Christmas on Honeysuckle Lane	2018	100	Drama,Romance
tt9103602	tvMovie	A Veteran's Christmas	2018	84	Drama,Romance
tt8022676	tvMovie	Marrying Father Christmas	2018	85	Drama,Mystery,Romance
tt6958760	tvMovie	Engaging Father Christmas	2017	88	Drama,Romance
tt6245488	tvMovie	Finding Father Christmas	2016	84	Drama,Romance
tt8395220	tvMovie	A Christmas for the Books	2018	90	Drama,Romance
tt8990334	tvMovie	Memories of Christmas	2018	120	Drama
tt9028866	tvMovie	A Gingerbread Romance	2018	90	Drama,Family,Romance
tt9033636	tvMovie	A Majestic Christmas	2018	94	Drama,Romance
tt9028802	tvMovie	Christmas Everlasting	2018	85	Drama,Romance
tt9067272	tvMovie	Christmas Lost and Found	2018	90	Drama
tt9028890	tvMovie	A Midnight Kiss	2018	95	Romance
tt9058902	tvMovie	Jingle Belle	2018	86	Drama,Music,Romance
tt9058820	tvMovie	My Christmas Inn	2018	100	Comedy,Drama,Romance
tt8942494	tvMovie	Christmas Pen Pals	2018	90	Comedy,Drama,Romance
tt9059048	tvMovie	The Christmas Pact	2018	84	Comedy,Drama,Romance
tt9101692	tvMovie	Christmas Around the Corner	2018	90	Drama,Romance
tt9058944	tvMovie	Hometown Christmas	2018	90	Romance
tt7872704	tvMovie	Christmas Perfection	2018	90	Comedy,Drama,Fantasy
tt8295976	tvMovie	A Very Nutty Christmas	2018	90	Comedy,Fantasy,Romance
tt8443810	movie	Christmas Harmony	2018	85	Comedy,Drama,Music
tt8672786	tvMovie	A Christmas Arrangement	2018	90	Comedy,Romance
tt9102152	tvMovie	Every Day Is Christmas	2018	85	Drama,Fantasy,Romance
tt4012254	tvMovie	A Cookie Cutter Christmas	2014	84	Comedy,Romance
tt5739680	tvMovie	A December Bride	2016	84	Comedy,Romance
tt5574012	movie	Falling for Christmas	2016	87	Drama,Romance,Sport
tt5675936	tvMovie	Christmas Cookies	2016	84	Drama,Romance
tt7657462	tvMovie	A Bramble House Christmas	2017	84	Drama,Romance
tt7642542	tvMovie	Magical Christmas Ornaments	2017	90	Drama,Fantasy,Romance
tt6085974	tvMovie	Love Always, Santa	2016	84	Comedy,Romance
tt5949946	tvMovie	My Christmas Dream	2016	82	Comedy,Romance
tt7546978	tvMovie	Romance at Reindeer Lodge	2017	90	Drama,Romance
tt5944496	tvMovie	Christmas Homecoming	2017	85	Drama,Romance
tt7385392	tvMovie	Finding Santa	2017	90	Romance
tt6759380	tvMovie	A Song for Christmas	2017	84	Drama,Romance
tt7714138	tvMovie	Christmas Encore	2017	83	Drama,Romance
tt7588798	tvMovie	Miss Christmas	2017	84	Drama,Family,Romance
tt7643644	tvMovie	Rocky Mountain Christmas	2017	90	Family,Fantasy,Romance
tt7647010	tvMovie	The Mistletoe Inn	2017	90	Comedy,Drama,Romance
tt7688990	tvMovie	Christmas Getaway	2017	90	Drama,Romance
tt5902138	tvMovie	Christmas List	2016	84	Comedy,Drama,Romance
tt7006938	tvMovie	A Gift for Christmas	2017	90	Drama,Romance
tt7038606	tvMovie	Switched for Christmas	2017	90	Comedy,Drama,Family
tt4180032	tvMovie	Christmas Under Wraps	2014	88	Comedy,Drama,Romance
tt6131148	tvMovie	Love You Like Christmas	2016	90	Comedy,Drama,Family
tt6273004	tvMovie	Christmas in Homestead	2016	84	Romance
tt6104760	tvMovie	My Christmas Love	2016	85	Comedy,Romance
tt7038632	tvMovie	Christmas Festival of Ice	2017	84	Romance
tt7030416	tvMovie	Enchanted Christmas	2017	84	Romance
tt5210078	tvMovie	On the Twelfth Day of Christmas	2015	84	Comedy,Romance
tt6269192	tvMovie	Journey Back to Christmas	2016	84	Drama,Family,Fantasy
tt4767950	tvMovie	A Christmas Detour	2015	85	Comedy,Romance
tt6260218	tvMovie	Sound of Christmas	2016	84	Family,Romance
tt6321108	tvMovie	Hearts of Christmas	2016	84	Drama,Romance
tt7123974	tvMovie	The Christmas Cure	2017	87	Drama,Romance
tt6269700	tvMovie	Operation Christmas	2016	84	Romance
tt5156770	tvMovie	Charming Christmas	2015	85	Drama,Romance
tt2964654	tvMovie	Finding Christmas	2013	120	Drama,Romance
tt3289944	tvMovie	The Christmas Ornament	2013	83	Romance
tt6605352	tvMovie	Christmas in the Air	2017	84	Romance
tt7421814	tvMovie	Snowed-Inn Christmas	2017	86	Comedy,Drama,Romance
tt5031014	tvMovie	Ice Sculpture Christmas	2015	83	Comedy,Drama,Romance
tt2107651	tvMovie	I Married Who?	2012	86	Comedy
tt7621886	tvMovie	Christmas in Mississippi	2017	90	Drama,Romance
tt7520274	tvMovie	Love Struck Café	2017	84	Drama,Romance
tt6319714	tvMovie	Love on Ice	2017	84	Drama,Romance,Sport
tt7418206	tvMovie	A Harvest Wedding	2017	84	Comedy,Romance
tt1346983	tvMovie	Loving Leah	2009	95	Drama,Romance
tt2094787	tvMovie	Undercover Bridesmaid	2012	87	Mystery,Romance
tt1714202	tvMovie	Mystery Girl	2011	85	Comedy,Romance
tt5063384	tvMovie	Hello, It's Me	2015	85	Drama,Romance
tt2343140	tvMovie	The Seven Year Hitch	2012	88	Comedy,Romance
tt1942900	tvMovie	Kiss at Pine Lake	2012	90	Romance
tt2235348	tvMovie	Second Chances	2013	84	Drama,Romance
tt1737586	tvMovie	Fixing Pete	2011	120	Comedy,Romance
tt5675746	tvMovie	Hometown Hero	2017	90	Romance
tt1629755	tvMovie	Fairfield Road	2010	89	Drama
tt6131636	tvMovie	The Irresistible Blueberry Farm	2016	105	Drama,Fantasy,Romance
tt3593926	tvMovie	The Memory Book	2014	84	Drama,Romance
tt5544464	tvMovie	Change of Heart	2016	85	Comedy,Drama,Romance
tt6170838	tvMovie	Mr. Write	2016	84	Romance
tt1579306	tvMovie	A Soldier's Love Story	2010	88	Drama,Romance
tt4658578	tvMovie	Love Under the Stars	2015	84	Comedy,Romance
tt5175158	tvMovie	Twist of Fate	2016	86	Romance
tt5493392	tvMovie	The Mechanics of Love	2017	90	Drama
tt10298896	tvMovie	Over the Moon in Love	2019	83	Romance
tt10651668	tvMovie	My One & Only	2019	84	Drama,Romance
tt10771556	tvMovie	A Very Corgi Christmas	2019	90	Drama,Family,Romance
tt10887504	tvMovie	Love, Fall & Order	2019	84	Romance
tt10571920	tvMovie	Nostalgic Christmas	2019	84	Drama,Romance
tt10433222	tvMovie	A Merry Christmas Match	2019	82	Drama,Romance
tt10136898	tvMovie	Christmas Wishes and Mistletoe Kisses	2019	84	Drama,Family,Romance
tt10768278	tvMovie	Christmas Scavenger Hunt	2019	82	Comedy
tt9747450	tvMovie	Holiday for Heroes	2019	81	Romance
tt10936658	tvMovie	A Blue Ridge Mountain Christmas	2019	84	Family
tt10553910	tvMovie	Picture a Perfect Christmas	2019	84	Drama,Romance
tt10345022	tvMovie	Merry & Bright	2019	84	Drama,Romance
tt10700392	tvMovie	The Road Home for Christmas	2019	84	Drama,Romance
