tt2256703	6.6	1996
tt4814436	6.9	2742
tt5066870	6.4	3496
tt5076184	6.4	2943
tt6185074	6.3	2957
tt5364518	5.9	2166
tt4648986	6.0	1800
tt5329524	6.5	2108
tt5340362	6.5	2139
tt5458812	6.3	2072
tt5302658	6.8	3222
tt5231268	6.2	2834
tt5212042	6.5	1242
tt5313016	6.5	1250
tt5615976	6.1	2374
tt5670394	6.4	1515
tt5688480	6.4	1557
tt4997624	6.5	1863
tt5968910	6.1	1268
tt6076802	6.7	1641
tt6587078	6.6	1830
tt6439776	6.6	1147
tt6286216	6.7	2105
tt6387232	6.5	2924
tt7905880	6.6	1626
tt7825514	6.6	1858
tt7874116	6.7	1337
tt5779286	5.9	865
tt7358936	4.7	2936
tt7817348	6.7	1718
tt6432062	6.8	2190
tt3815480	5.5	1659
tt5668196	5.7	1346
tt3579488	5.2	1176
tt5076032	6.5	2668
tt1790621	6.2	4624
tt4280430	6.0	1945
tt5210380	5.4	3160
tt4742556	5.8	2198
tt5033114	6.2	3176
tt5133810	6.5	3942
tt2400685	6.7	2323
tt2193456	5.8	1439
tt6970518	6.1	1155
tt5566660	6.2	2265
tt4380580	6.0	1141
tt5734214	6.4	1396
tt5605328	6.4	1464
tt6041048	6.6	1802
tt5922484	6.8	2199
tt6455992	6.6	1603
tt6456614	6.5	1358
tt6386526	6.4	1481
tt6928060	6.3	1799
tt7042586	6.4	1125
tt7756492	6.7	1772
tt7594384	6.2	1008
tt8060978	6.1	1395
tt7785106	6.3	1108
tt8111210	6.6	1943
tt8250512	6.4	1557
tt8115218	6.6	1299
tt8025296	6.2	1202
tt7654082	6.3	1515
tt5997848	6.4	1962
tt7440948	6.6	2451
tt7647000	6.8	1941
tt7697712	6.2	1284
tt3512900	5.1	1337
tt3356654	5.7	1249
tt4185152	6.1	984
tt5643768	5.9	907
tt6008686	6.2	756
tt5368354	6.0	852
tt5781222	6.4	700
tt8433858	5.9	1120
tt6275674	6.0	974
tt8278648	6.1	593
tt7404820	4.5	506
tt8039362	6.0	1228
tt8430044	6.6	1339
tt5288136	6.6	957
tt5864236	6.3	835
tt5431950	5.2	497
tt5646992	5.4	535
tt5676118	6.0	4689
tt3338436	6.6	1889
tt4460176	7.0	2982
tt3515524	6.7	1759
tt6782486	6.6	1779
tt4016588	6.7	2531
tt4087916	6.2	1331
tt5097970	6.2	2124
tt5062804	6.7	1300
tt8709036	5.3	10514
tt2838678	6.6	4373
tt8555248	6.3	1075
tt8312392	6.5	1051
tt9028942	6.2	577
tt8231086	6.6	818
tt6874542	6.6	1417
tt6948128	6.6	1508
tt7488036	6.3	738
tt9212666	5.8	1081
tt6240470	5.5	362
tt10022384	5.6	660
tt6669590	6.3	1355
tt6914742	6.6	1278
tt9760256	6.5	898
tt8746226	6.2	1358
tt10136902	6.0	549
tt10136840	6.1	873
tt9876418	6.5	1023
tt9777092	6.1	610
tt7997256	6.6	1730
tt9759926	6.5	1294
tt10136854	6.6	1254
tt10176734	6.7	807
tt10136864	5.6	793
tt9695612	6.9	1144
tt9876426	7.1	1134
tt10136884	6.8	1039
tt9759938	6.3	793
tt10380706	6.3	564
tt10136826	6.8	1184
tt10337562	6.1	628
tt9876408	7.1	2131
tt9783876	6.2	1065
tt9759918	7.0	1130
tt9747392	6.5	1160
tt9602544	6.4	1050
tt9552488	6.8	1601
tt9323966	6.5	1067
tt9556756	7.1	1541
tt9287492	6.6	1464
tt9556730	6.5	1507
tt9556850	6.4	864
tt7049178	6.3	1032
tt10345024	6.3	923
tt10369978	7.3	1168
tt9534518	6.7	1173
tt8587730	6.5	865
tt8020378	6.5	1395
tt9202096	6.5	1384
tt8582458	6.6	678
tt7936538	5.7	927
tt8863322	6.5	1141
tt9033640	6.5	1255
tt10224134	6.8	1422
tt9028880	5.7	4002
tt8989870	6.8	1032
tt8498184	6.3	2372
tt9033628	6.9	2391
tt8634192	6.3	1941
tt10136908	6.3	824
tt9892388	6.0	394
tt9386068	6.0	456
tt9247926	5.5	394
tt9168416	6.8	1499
tt9168384	6.6	1332
tt9029324	6.7	1283
tt9028784	6.4	1153
tt9093130	6.7	1382
tt9103028	6.3	1308
tt9028856	5.9	3046
tt9032562	6.1	1004
tt9087578	7.4	1934
tt9028872	6.2	953
tt8634202	6.7	2362
tt9033634	6.7	1672
tt9033646	6.3	1050
tt9033712	6.5	1663
tt8300786	6.6	1164
